attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,categories,latitude,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.Payment Types.mastercard,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,attributes.Payment Types.amex,name,hours.Monday.open,attributes.Waiter Service,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Good For.dinner,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Good For Kids,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Payment Types.cash_only,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Payment Types.discover,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Payment Types.visa,type,attributes.Caters,attributes.Ambience.intimate,attributes.Music.playlist,attributes.Good For.latenight,attributes.Price Range,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.By Appointment Only,attributes.Dietary Restrictions.kosher,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Hair Types Specialized In.perms,attributes.Music.jukebox,attributes.Ambience.upscale
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Food', u'Grocery']",40.3877323,NA,NA,NA,NA,TRUE,yXuao0pFz1AxB21vJjDf5w,NA,NA,NA,NA,NA,Shop N'save,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,3,NA,PA,TRUE,NA,NA,NA,FALSE,NA,"2100 Washington Pike
Carnegie, PA 15106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnegie,NA,TRUE,NA,3.5,NA,business,NA,NA,NA,NA,3,NA,-80.0928745,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,NA
FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Bars', u'American (Traditional)', u'Nightlife', u'Lounges', u'Restaurants']",40.3964688,FALSE,full_bar,FALSE,NA,FALSE,fNGIbpazjTRdXgwRY_NIXA,FALSE,NA,NA,FALSE,NA,Rocky's Lounge,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,NA,PA,TRUE,NA,FALSE,NA,FALSE,FALSE,"1201 Washington Ave
Carnegie, PA 15106",NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,TRUE,Carnegie,NA,FALSE,NA,4,NA,business,FALSE,FALSE,NA,FALSE,2,FALSE,-80.0849416,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE,NA,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,average,no,casual,NA,TRUE,[],NA,FALSE,NA,FALSE,FALSE
TRUE,NA,NA,6:00,TRUE,NA,NA,FALSE,6:00,"[u'Breakfast & Brunch', u'Restaurants']",40.3967441,FALSE,none,FALSE,NA,TRUE,b9WZJp5L1RZr4F1nxclOoQ,FALSE,FALSE,6:00,FALSE,NA,Gab & Eat,6:00,TRUE,FALSE,FALSE,yes_free,NA,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,38,NA,PA,FALSE,14:30,FALSE,TRUE,FALSE,TRUE,"1073 Washington Ave
Carnegie, PA 15106",14:30,NA,NA,FALSE,NA,NA,FALSE,6:00,NA,FALSE,FALSE,14:30,no,TRUE,Carnegie,NA,FALSE,NA,4.5,NA,business,TRUE,FALSE,NA,FALSE,1,NA,-80.0847998,14:30,NA,14:30,12:30,TRUE,FALSE,7:00,NA,NA,NA,TRUE,12:30,TRUE,NA,NA,NA,NA,NA,6:00,average,NA,casual,NA,FALSE,[],NA,FALSE,NA,NA,FALSE
FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Cafes', u'Restaurants']",40.404638,FALSE,none,FALSE,NA,FALSE,zaXDakTd3RXyOa7sMrUE1g,FALSE,NA,NA,TRUE,NA,Barb's Country Junction Cafe,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,5,NA,PA,TRUE,NA,FALSE,NA,FALSE,TRUE,"202 3rd Ave
Carnegie
Carnegie, PA 15106",NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,TRUE,Carnegie,NA,NA,NA,4,NA,business,NA,FALSE,NA,FALSE,1,NA,-80.089985,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,average,NA,casual,NA,TRUE,[u'Carnegie'],NA,FALSE,NA,NA,FALSE
NA,NA,NA,0:00,NA,NA,NA,NA,0:00,"[u'Hotels & Travel', u'Event Planning & Services', u'Hotels']",40.417419,NA,NA,NA,NA,NA,zgy27FSnvwdINfk5cXBIyQ,NA,NA,0:00,NA,NA,Extended Stay America - Pittsburgh - Carnegie,0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,PA,TRUE,0:00,NA,NA,NA,NA,"520 North Bell Avenue
Carnegie
Carnegie, PA 15106",0:00,NA,NA,NA,NA,NA,NA,0:00,NA,NA,NA,0:00,free,TRUE,Carnegie,NA,NA,NA,4,NA,business,NA,NA,NA,NA,2,NA,-80.088557,0:00,NA,0:00,0:00,NA,NA,0:00,NA,NA,NA,NA,0:00,NA,NA,NA,NA,NA,NA,0:00,NA,NA,NA,NA,NA,[u'Carnegie'],NA,NA,NA,NA,NA
FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Pubs', u'Irish', u'Nightlife', u'Bars', u'Restaurants']",40.40867,TRUE,full_bar,FALSE,NA,FALSE,WETE_LykpcnrC1sFcQ5EGg,FALSE,NA,NA,FALSE,NA,Paddy's Pour House,NA,TRUE,TRUE,FALSE,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6,NA,PA,TRUE,NA,FALSE,NA,FALSE,TRUE,"215 E Main St
Carnegie
Carnegie, PA 15106",NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,Carnegie,NA,NA,NA,3.5,NA,business,NA,FALSE,NA,TRUE,2,FALSE,-80.085279,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,average,NA,casual,NA,TRUE,[u'Carnegie'],NA,FALSE,NA,FALSE,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,[],40.4085677,NA,NA,NA,NA,NA,6o3RK6rTcN3nw-j-r2nQmA,NA,NA,NA,NA,NA,Porto Fino Pizzaria & Gyro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,PA,NA,NA,NA,NA,NA,NA,"231 E Main St
Carnegie
Carnegie, PA 15106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnegie,NA,NA,NA,2.5,NA,business,NA,NA,NA,NA,NA,NA,-80.0849924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Carnegie'],NA,NA,NA,NA,NA
NA,NA,NA,8:30,NA,NA,NA,NA,8:30,"[u'Local Services', u'Sewing & Alterations']",40.4078889,NA,NA,NA,NA,NA,woOVJ0Z2f6XNCDntHA3b_g,NA,NA,8:30,NA,NA,Alteration World,8:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,PA,FALSE,19:00,NA,NA,NA,NA,"117 E Mall Plz
Carnegie
Carnegie, PA 15106",19:00,NA,NA,NA,NA,NA,NA,8:30,NA,NA,NA,19:00,NA,TRUE,Carnegie,NA,NA,NA,5,NA,business,NA,NA,NA,NA,NA,NA,-80.08606,19:00,NA,19:00,18:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8:30,NA,NA,NA,NA,NA,[u'Carnegie'],NA,NA,NA,NA,NA
FALSE,NA,NA,NA,NA,NA,NA,NA,NA,[u'Restaurants'],40.3868915,FALSE,none,FALSE,NA,FALSE,rv7CY8G_XibTx82YhuqQRw,FALSE,NA,NA,NA,NA,Long John Silver's,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,3,NA,PA,TRUE,NA,NA,NA,FALSE,TRUE,"Raceway Plz
Carnegie, PA 15106",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,no,TRUE,Carnegie,NA,TRUE,NA,3.5,NA,business,FALSE,FALSE,NA,NA,1,NA,-80.0937037,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,average,NA,casual,NA,TRUE,[],NA,FALSE,NA,NA,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Health & Medical', u'Dentists', u'General Dentistry']",40.39076,NA,NA,NA,NA,NA,e_U_FnpdKVgNb4mUN2cU_Q,NA,NA,NA,NA,NA,"Weinberg Lisa, DMD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,PA,NA,NA,NA,NA,NA,NA,"2323 Greentree Rd
Carnegie, PA 15106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnegie,NA,NA,NA,2,NA,business,NA,NA,NA,NA,NA,NA,-80.078657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Chinese', u'Restaurants']",40.408343,FALSE,none,NA,NA,FALSE,SQ0j7bgSTazkVQlF5AnqyQ,NA,NA,NA,NA,NA,Don Don Chinese Restaurant,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,8,NA,PA,NA,NA,NA,NA,FALSE,TRUE,"214 E Main St
Carnegie
Carnegie, PA 15106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,Carnegie,NA,NA,NA,2.5,NA,business,NA,NA,NA,NA,1,NA,-80.084861,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,quiet,NA,casual,NA,FALSE,[u'Carnegie'],NA,NA,NA,NA,NA
FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Breakfast & Brunch', u'American (Traditional)', u'Restaurants']",40.391255,FALSE,none,FALSE,NA,FALSE,wqu7ILomIOPSduRwoWp4AQ,FALSE,NA,NA,TRUE,NA,Denny's,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,7,NA,PA,TRUE,NA,FALSE,NA,FALSE,TRUE,"2180 Greentree Rd
Pittsburgh, PA 15220",NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,no,TRUE,Pittsburgh,NA,NA,NA,4,NA,business,FALSE,FALSE,NA,FALSE,1,NA,-80.073426,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,average,NA,casual,NA,TRUE,[],NA,FALSE,NA,NA,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Active Life', u'Gyms', u'Trainers', u'Fitness & Instruction']",40.394305,NA,NA,NA,NA,NA,1u2NauOy8xDj7aFQET680A,NA,NA,NA,NA,NA,Amerifit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,PA,NA,NA,NA,NA,NA,NA,"100 Roessler Rd
Carnegie, PA 15106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnegie,NA,NA,NA,2.5,NA,business,NA,NA,NA,NA,NA,NA,-80.060154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,NA
FALSE,NA,NA,11:00,NA,NA,NA,NA,11:00,"[u'Restaurants', u'Italian']",40.4082572,TRUE,full_bar,FALSE,NA,TRUE,P1fJb2WQ1mXoiudj8UE44w,FALSE,NA,11:00,FALSE,NA,Papa J's,11:00,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,46,NA,PA,TRUE,23:00,FALSE,NA,FALSE,TRUE,"200 E Main St
Carnegie
Carnegie, PA 15106",22:00,NA,NA,FALSE,NA,NA,TRUE,11:00,NA,FALSE,FALSE,22:00,no,TRUE,Carnegie,NA,TRUE,NA,3.5,NA,business,TRUE,FALSE,NA,FALSE,2,NA,-80.0854582,22:00,NA,22:00,23:00,TRUE,FALSE,11:00,NA,NA,NA,TRUE,21:00,TRUE,NA,NA,NA,NA,NA,11:00,quiet,NA,casual,NA,TRUE,[u'Carnegie'],NA,FALSE,NA,NA,FALSE
NA,NA,NA,9:00,NA,NA,NA,NA,9:00,"[u'Health & Medical', u'Periodontists', u'Dentists', u'Orthodontists']",40.47045734,NA,NA,NA,NA,NA,xxWFOD46ubTSF3nPRM19BA,NA,NA,9:00,NA,NA,Emmert Dental Associates,9:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,PA,NA,18:00,NA,NA,NA,NA,"1730 Settlers Ridge Center Dr
Pittsburgh, PA 15136",21:00,NA,NA,NA,NA,NA,NA,8:00,NA,NA,NA,21:00,NA,TRUE,Pittsburgh,NA,NA,NA,1,NA,business,NA,NA,NA,NA,NA,NA,-80.08895874,21:00,NA,21:00,15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,9:00,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,NA
FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"[u'Burgers', u'Fast Food', u'Restaurants']",40.412086,TRUE,none,FALSE,NA,FALSE,PK6aSizckHFWk8i0oxt5DA,FALSE,NA,NA,FALSE,NA,McDonald's,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,5,NA,PA,TRUE,NA,FALSE,NA,FALSE,TRUE,"400 Waterfront Dr E
Homestead
Homestead, PA 15120",NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,free,TRUE,Homestead,NA,NA,NA,2,NA,business,FALSE,FALSE,NA,FALSE,1,NA,-79.910032,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,TRUE,NA,NA,average,NA,casual,NA,TRUE,[u'Homestead'],NA,FALSE,NA,NA,FALSE
